Division,Group,Field,Description
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300101,Agricultural biotechnology diagnostics (incl. biosensors)
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300102,Agricultural marine biotechnology
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300103,Agricultural molecular engineering of nucleic acids and proteins
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300104,Genetically modified animals
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300105,Genetically modified field crops and pasture
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300106,Genetically modified horticulture plants
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300107,Genetically modified trees
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300108,Livestock cloning
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300109,Non-genetically modified uses of biotechnology
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300110,Transgenesis
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300199,Agricultural biotechnology not elsewhere classified
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300201,Agricultural hydrology
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300202,Agricultural land management
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300203,Agricultural land planning
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300204,Agricultural management of nutrients
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300205,Agricultural production systems simulation
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300206,Agricultural spatial analysis and modelling
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300207,Agricultural systems analysis and modelling
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300208,"Farm management, rural management and agribusiness"
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300209,Germplasm management
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300210,Sustainable agricultural development
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300299,"Agriculture, land and farm management not elsewhere classified"
"Agricultural, Veterinary and Food Sciences",Animal production,300301,Animal growth and development
"Agricultural, Veterinary and Food Sciences",Animal production,300302,Animal management
"Agricultural, Veterinary and Food Sciences",Animal production,300303,Animal nutrition
"Agricultural, Veterinary and Food Sciences",Animal production,300304,Animal protection (incl. pests and pathogens)
"Agricultural, Veterinary and Food Sciences",Animal production,300305,Animal reproduction and breeding
"Agricultural, Veterinary and Food Sciences",Animal production,300306,Animal welfare
"Agricultural, Veterinary and Food Sciences",Animal production,300307,Environmental studies in animal production
"Agricultural, Veterinary and Food Sciences",Animal production,300399,Animal production not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300401,Agrochemicals and biocides (incl. application)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300402,Agro-ecosystem function and prediction
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300403,Agronomy
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300404,Crop and pasture biochemistry and physiology
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300405,Crop and pasture biomass and bioproducts
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300406,Crop and pasture improvement (incl. selection and breeding)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300407,Crop and pasture nutrition
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300408,Crop and pasture post harvest technologies (incl. transportation and storage)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300409,"Crop and pasture protection (incl. pests, diseases and weeds)"
